Team ID,Team,Opp ID,Opp,Date,Location
29,Arizona,706,UTSA,9/3/2015,
47,Ball St.,-99,Virginia Military Institute,9/3/2015,
164,UConn,-99,Villanova,9/3/2015,
718,Tulane,193,Duke,9/3/2015,@
128,UCF,231,FIU,9/3/2015,@
96,Fresno St.,-99,Abilene Christian,9/3/2015,
255,Georgia Tech,-99,Alcorn St.,9/3/2015,
277,Hawaii,157,Colorado,9/3/2015,
466,Nevada,-99,California-Davis,9/3/2015,
295,Idaho,519,Ohio,9/3/2015,@
129,Central Mich.,521,Oklahoma St.,9/3/2015,@
630,San Jose St.,-99,New Hampshire,9/3/2015,
648,South Carolina,457,North Carolina,9/3/2015,
428,Minnesota,698,TCU,9/3/2015,@
732,Utah,418,Michigan,9/3/2015,
731,Utah St.,-99,Southern Utah,9/3/2015,
749,Wake Forest,-99,Elon,9/3/2015,
736,Vanderbilt,772,Western Ky.,9/3/2015,@
663,SMU,51,Baylor,9/4/2015,@
66,Boise St.,756,Washington,9/4/2015,
254,Georgia St.,458,Charlotte,9/4/2015,@
725,Army West Point,-99,Fordham,9/4/2015,@
774,Western Mich.,416,Michigan St.,9/4/2015,@
528,Oregon St.,-99,Weber St.,9/4/2015,
688,Syracuse,-99,Rhode Island,9/4/2015,
721,Air Force,-99,Morgan St.,9/5/2015,
8,Alabama,796,Wisconsin,9/5/2015,
27,Appalachian St.,-99,Howard,9/5/2015,
31,Arkansas,704,UTEP,9/5/2015,
37,Auburn,367,Louisville,9/5/2015,
67,Boston College,-99,Maine,9/5/2015,
463,Nebraska,77,BYU,9/5/2015,@
86,Buffalo,-99,Albany,9/5/2015,
107,California,-99,Grambling St.,9/5/2015,
140,Cincinnati,-99,Alabama A&M,9/5/2015,
147,Clemson,-99,Wofford,9/5/2015,
156,Colorado St.,-99,Savannah St.,9/5/2015,
196,East Carolina,-99,Towson,9/5/2015,
235,Florida,472,New Mexico St.,9/5/2015,
234,Florida St.,670,Texas St.,9/5/2015,
257,Georgia,498,La.-Monroe,9/5/2015,
288,Houston,-99,Tennessee Tech,9/5/2015,
301,Illinois,331,Kent St.,9/5/2015,
306,Indiana,-99,Southern Illinois,9/5/2015,
312,Iowa,-99,Illinois St.,9/5/2015,
311,Iowa St.,-99,Northern Iowa,9/5/2015,
327,Kansas St.,-99,South Dakota,9/5/2015,
334,Kentucky,671,UL Lafayette,9/5/2015,
366,Louisiana Tech,-99,Southern,9/5/2015,
392,Maryland,-99,Richmond,9/5/2015,
365,LSU,-99,McNeese St.,9/5/2015,@
404,Memphis,-99,Missouri St.,9/5/2015,
415,Miami (FL),-99,Bethune-Cookman,9/5/2015,
414,Miami (OH),-99,Presbyterian,9/5/2015,
419,Middle Tenn.,-99,Jackson St.,9/5/2015,
433,Ole Miss,-99,Tennessee-Martin,9/5/2015,
664,Southern Miss.,430,Mississippi St.,9/5/2015,@
434,Missouri,-99,Southeast Missouri St.,9/5/2015,
726,Navy,-99,Colgate,9/5/2015,
473,New Mexico,-99,Mississippi Valley St.,9/5/2015,
490,North Carolina St.,716,Troy,9/5/2015,
811,Wyoming,-99,North Dakota,9/5/2015,@
503,Northern Ill.,465,UNLV,9/5/2015,
509,Northwestern,674,Stanford,9/5/2015,
513,Notre Dame,703,Texas,9/5/2015,
522,Oklahoma,5,Akron,9/5/2015,
204,Eastern Mich.,523,Old Dominion,9/5/2015,@
529,Oregon,-99,Eastern Washington,9/5/2015,
545,Pittsburgh,-99,Youngstown St.,9/5/2015,
754,Washington St.,-99,Portland St.,9/5/2015,@
574,Rice,-99,Wagner,9/5/2015,
587,Rutgers,-99,Norfolk St.,9/5/2015,
646,South Ala.,-99,Gardner-Webb,9/5/2015,
328,Kansas,-99,South Dakota St.,9/5/2015,@
651,South Fla.,-99,Florida A&M,9/5/2015,
657,Southern California,30,Arkansas St.,9/5/2015,
690,Temple,539,Penn St.,9/5/2015,
694,Tennessee,71,Bowling Green,9/5/2015,
697,Texas A&M,28,Arizona St.,9/5/2015,
700,Texas Tech,-99,Sam Houston St.,9/5/2015,
719,Tulsa,229,Fla. Atlantic,9/5/2015,
110,UCLA,746,Virginia,9/5/2015,
768,West Virginia,253,Ga. Southern,9/5/2015,
388,Marshall,559,Purdue,9/6/2015,
742,Virginia Tech,518,Ohio St.,9/7/2015,@
772,Western Ky.,366,Louisiana Tech,9/10/2015,
229,Fla. Atlantic,415,Miami (FL),9/11/2015,@
732,Utah,731,Utah St.,9/11/2015,
721,Air Force,630,San Jose St.,9/12/2015,
8,Alabama,419,Middle Tenn.,9/12/2015,
466,Nevada,29,Arizona,9/12/2015,@
28,Arizona St.,-99,Cal Poly,9/12/2015,
37,Auburn,-99,Jacksonville St.,9/12/2015,
51,Baylor,-99,Lamar,9/12/2015,
67,Boston College,-99,Howard,9/12/2015,
392,Maryland,71,Bowling Green,9/12/2015,@
77,BYU,66,Boise St.,9/12/2015,
107,California,626,San Diego St.,9/12/2015,
129,Central Mich.,-99,Monmouth,9/12/2015,
458,Charlotte,-99,Presbyterian,9/12/2015,
147,Clemson,27,Appalachian St.,9/12/2015,
157,Colorado,400,Massachusetts,9/12/2015,
164,UConn,725,Army West Point,9/12/2015,
193,Duke,-99,North Carolina Central,9/12/2015,
811,Wyoming,204,Eastern Mich.,9/12/2015,@
235,Florida,196,East Carolina,9/12/2015,
234,Florida St.,651,South Fla.,9/12/2015,
736,Vanderbilt,257,Georgia,9/12/2015,@
253,Ga. Southern,774,Western Mich.,9/12/2015,
472,New Mexico St.,254,Georgia St.,9/12/2015,@
255,Georgia Tech,718,Tulane,9/12/2015,
367,Louisville,288,Houston,9/12/2015,@
301,Illinois,-99,Western Illinois,9/12/2015,
306,Indiana,231,FIU,9/12/2015,
311,Iowa St.,312,Iowa,9/12/2015,@
706,UTSA,327,Kansas St.,9/12/2015,@
331,Kent St.,-99,Delaware St.,9/12/2015,
648,South Carolina,334,Kentucky,9/12/2015,@
430,Mississippi St.,365,LSU,9/12/2015,@
671,UL Lafayette,-99,Northwestern St.,9/12/2015,
498,La.-Monroe,-99,Nicholls St.,9/12/2015,
328,Kansas,404,Memphis,9/12/2015,@
418,Michigan,528,Oregon St.,9/12/2015,
416,Michigan St.,529,Oregon,9/12/2015,
156,Colorado St.,428,Minnesota,9/12/2015,@
433,Ole Miss,96,Fresno St.,9/12/2015,
30,Arkansas St.,434,Missouri,9/12/2015,@
463,Nebraska,646,South Ala.,9/12/2015,
457,North Carolina,-99,North Carolina A&T,9/12/2015,
490,North Carolina St.,-99,Eastern Kentucky,9/12/2015,
503,Northern Ill.,-99,Murray St.,9/12/2015,
509,Northwestern,-99,Eastern Illinois,9/12/2015,
746,Virginia,513,Notre Dame,9/12/2015,@
519,Ohio,388,Marshall,9/12/2015,
518,Ohio St.,277,Hawaii,9/12/2015,
694,Tennessee,522,Oklahoma,9/12/2015,@
521,Oklahoma St.,-99,Central Arkansas,9/12/2015,
523,Old Dominion,-99,Norfolk St.,9/12/2015,
539,Penn St.,86,Buffalo,9/12/2015,
5,Akron,545,Pittsburgh,9/12/2015,@
559,Purdue,-99,Indiana St.,9/12/2015,
657,Southern California,295,Idaho,9/12/2015,
663,SMU,497,North Texas,9/12/2015,
664,Southern Miss.,-99,Austin Peay,9/12/2015,
674,Stanford,128,UCF,9/12/2015,
688,Syracuse,749,Wake Forest,9/12/2015,
140,Cincinnati,690,Temple,9/12/2015,@
703,Texas,574,Rice,9/12/2015,
697,Texas A&M,47,Ball St.,9/12/2015,
698,TCU,-99,Stephen F. Austin,9/12/2015,
670,Texas St.,-99,Prairie View A&M,9/12/2015,
