Team ID,Team,Opp ID,Opp,Date,Location
367,Louisville,415,Miami (FL),9/1/2014,
415,Miami (FL),367,Louisville,9/1/2014,
706,UTSA,29,Arizona,9/4/2014,@
29,Arizona,706,UTSA,9/4/2014,@
466,Nevada,754,Washington St.,9/5/2014,
67,Boston College,545,Pittsburgh,9/5/2014,@
754,Washington St.,466,Nevada,9/5/2014,
545,Pittsburgh,67,Boston College,9/5/2014,@
8,Alabama,229,Fla. Atlantic,9/6/2014,
27,Appalachian St.,-99,Campbell,9/6/2014,
473,New Mexico,28,Arizona St.,9/6/2014,@
31,Arkansas,-99,Nicholls St.,9/6/2014,
725,Army West Point,86,Buffalo,9/6/2014,
37,Auburn,630,San Jose St.,9/6/2014,
51,Baylor,-99,Northwestern St.,9/6/2014,
66,Boise St.,156,Colorado St.,9/6/2014,
71,Bowling Green,-99,Virginia Military Institute,9/6/2014,
703,Texas,77,BYU,9/6/2014,@
107,California,-99,Sacramento St.,9/6/2014,
559,Purdue,129,Central Mich.,9/6/2014,@
147,Clemson,-99,South Carolina St.,9/6/2014,
157,Colorado,400,Massachusetts,9/6/2014,
164,UConn,-99,Stony Brook,9/6/2014,
716,Troy,193,Duke,9/6/2014,@
414,Miami (OH),-99,Eastern Kentucky,9/6/2014,@
235,Florida,204,Eastern Mich.,9/6/2014,
231,FIU,-99,Wagner,9/6/2014,
234,Florida St.,-99,Citadel,9/6/2014,
253,Ga. Southern,-99,Savannah St.,9/6/2014,
718,Tulane,255,Georgia Tech,9/6/2014,@
288,Houston,-99,Grambling St.,9/6/2014,
301,Illinois,772,Western Ky.,9/6/2014,
312,Iowa,47,Ball St.,9/6/2014,
328,Kansas,-99,Southeast Missouri St.,9/6/2014,
311,Iowa St.,327,Kansas St.,9/6/2014,@
334,Kentucky,519,Ohio,9/6/2014,
365,LSU,-99,Sam Houston St.,9/6/2014,
671,UL Lafayette,366,Louisiana Tech,9/6/2014,@
498,La.-Monroe,295,Idaho,9/6/2014,
367,Louisville,-99,Murray St.,9/6/2014,
388,Marshall,-99,Rhode Island,9/6/2014,
651,South Fla.,392,Maryland,9/6/2014,@
415,Miami (FL),-99,Florida A&M,9/6/2014,
428,Minnesota,419,Middle Tenn.,9/6/2014,
433,Ole Miss,736,Vanderbilt,9/6/2014,
430,Mississippi St.,-99,Alabama-Birmingham,9/6/2014,
709,Toledo,434,Missouri,9/6/2014,@
690,Temple,726,Navy,9/6/2014,@
463,Nebraska,-99,McNeese St.,9/6/2014,
465,UNLV,-99,Northern Colorado,9/6/2014,
254,Georgia St.,472,New Mexico St.,9/6/2014,@
457,North Carolina,626,San Diego St.,9/6/2014,
490,North Carolina St.,523,Old Dominion,9/6/2014,
497,North Texas,663,SMU,9/6/2014,
509,Northwestern,503,Northern Ill.,9/6/2014,@
513,Notre Dame,418,Michigan,9/6/2014,
719,Tulsa,522,Oklahoma,9/6/2014,@
521,Oklahoma St.,-99,Missouri St.,9/6/2014,
529,Oregon,416,Michigan St.,9/6/2014,
277,Hawaii,528,Oregon St.,9/6/2014,@
539,Penn St.,5,Akron,9/6/2014,
587,Rutgers,-99,Howard,9/6/2014,
331,Kent St.,646,South Ala.,9/6/2014,@
648,South Carolina,196,East Carolina,9/6/2014,
674,Stanford,657,Southern California,9/6/2014,@
664,Southern Miss.,-99,Alcorn St.,9/6/2014,
694,Tennessee,30,Arkansas St.,9/6/2014,
697,Texas A&M,-99,Lamar,9/6/2014,
704,UTEP,700,Texas Tech,9/6/2014,@
110,UCLA,404,Memphis,9/6/2014,
732,Utah,96,Fresno St.,9/6/2014,
731,Utah St.,-99,Idaho St.,9/6/2014,
746,Virginia,-99,Richmond,9/6/2014,
518,Ohio St.,742,Virginia Tech,9/6/2014,@
749,Wake Forest,-99,Gardner-Webb,9/6/2014,
756,Washington,-99,Eastern Washington,9/6/2014,
768,West Virginia,-99,Towson,9/6/2014,
796,Wisconsin,-99,Western Illinois,9/6/2014,
811,Wyoming,721,Air Force,9/6/2014,
156,Colorado St.,66,Boise St.,9/6/2014,
721,Air Force,811,Wyoming,9/6/2014,
229,Fla. Atlantic,8,Alabama,9/6/2014,
-99,Campbell,27,Appalachian St.,9/6/2014,
28,Arizona St.,473,New Mexico,9/6/2014,@
-99,Nicholls St.,31,Arkansas,9/6/2014,
86,Buffalo,725,Army West Point,9/6/2014,
630,San Jose St.,37,Auburn,9/6/2014,
-99,Northwestern St.,51,Baylor,9/6/2014,
-99,Virginia Military Institute,71,Bowling Green,9/6/2014,
77,BYU,703,Texas,9/6/2014,@
-99,Sacramento St.,107,California,9/6/2014,
129,Central Mich.,559,Purdue,9/6/2014,@
-99,South Carolina St.,147,Clemson,9/6/2014,
400,Massachusetts,157,Colorado,9/6/2014,
-99,Stony Brook,164,UConn,9/6/2014,
193,Duke,716,Troy,9/6/2014,@
-99,Eastern Kentucky,414,Miami (OH),9/6/2014,@
204,Eastern Mich.,235,Florida,9/6/2014,
-99,Wagner,231,FIU,9/6/2014,
-99,Citadel,234,Florida St.,9/6/2014,
-99,Savannah St.,253,Ga. Southern,9/6/2014,
255,Georgia Tech,718,Tulane,9/6/2014,@
-99,Grambling St.,288,Houston,9/6/2014,
772,Western Ky.,301,Illinois,9/6/2014,
47,Ball St.,312,Iowa,9/6/2014,
-99,Southeast Missouri St.,328,Kansas,9/6/2014,
327,Kansas St.,311,Iowa St.,9/6/2014,@
519,Ohio,334,Kentucky,9/6/2014,
-99,Sam Houston St.,365,LSU,9/6/2014,
366,Louisiana Tech,671,UL Lafayette,9/6/2014,@
295,Idaho,498,La.-Monroe,9/6/2014,
-99,Murray St.,367,Louisville,9/6/2014,
-99,Rhode Island,388,Marshall,9/6/2014,
392,Maryland,651,South Fla.,9/6/2014,@
-99,Florida A&M,415,Miami (FL),9/6/2014,
419,Middle Tenn.,428,Minnesota,9/6/2014,
736,Vanderbilt,433,Ole Miss,9/6/2014,
-99,Alabama-Birmingham,430,Mississippi St.,9/6/2014,
434,Missouri,709,Toledo,9/6/2014,@
726,Navy,690,Temple,9/6/2014,@
-99,McNeese St.,463,Nebraska,9/6/2014,
-99,Northern Colorado,465,UNLV,9/6/2014,
472,New Mexico St.,254,Georgia St.,9/6/2014,@
626,San Diego St.,457,North Carolina,9/6/2014,
523,Old Dominion,490,North Carolina St.,9/6/2014,
663,SMU,497,North Texas,9/6/2014,
503,Northern Ill.,509,Northwestern,9/6/2014,@
418,Michigan,513,Notre Dame,9/6/2014,
522,Oklahoma,719,Tulsa,9/6/2014,@
-99,Missouri St.,521,Oklahoma St.,9/6/2014,
416,Michigan St.,529,Oregon,9/6/2014,
528,Oregon St.,277,Hawaii,9/6/2014,@
5,Akron,539,Penn St.,9/6/2014,
-99,Howard,587,Rutgers,9/6/2014,
646,South Ala.,331,Kent St.,9/6/2014,@
196,East Carolina,648,South Carolina,9/6/2014,
657,Southern California,674,Stanford,9/6/2014,@
-99,Alcorn St.,664,Southern Miss.,9/6/2014,
30,Arkansas St.,694,Tennessee,9/6/2014,
-99,Lamar,697,Texas A&M,9/6/2014,
700,Texas Tech,704,UTEP,9/6/2014,@
404,Memphis,110,UCLA,9/6/2014,
96,Fresno St.,732,Utah,9/6/2014,
-99,Idaho St.,731,Utah St.,9/6/2014,
-99,Richmond,746,Virginia,9/6/2014,
742,Virginia Tech,518,Ohio St.,9/6/2014,@
-99,Gardner-Webb,749,Wake Forest,9/6/2014,
-99,Eastern Washington,756,Washington,9/6/2014,
-99,Towson,768,West Virginia,9/6/2014,
-99,Western Illinois,796,Wisconsin,9/6/2014,
77,BYU,288,Houston,9/11/2014,
497,North Texas,366,Louisiana Tech,9/11/2014,@
288,Houston,77,BYU,9/11/2014,
366,Louisiana Tech,497,North Texas,9/11/2014,@
86,Buffalo,51,Baylor,9/12/2014,@
140,Cincinnati,709,Toledo,9/12/2014,
51,Baylor,86,Buffalo,9/12/2014,@
709,Toledo,140,Cincinnati,9/12/2014,
716,Troy,-99,Abilene Christian,9/13/2014,@
254,Georgia St.,721,Air Force,9/13/2014,@
8,Alabama,664,Southern Miss.,9/13/2014,
-99,Alabama-Birmingham,-99,Alabama A&M,9/13/2014,
157,Colorado,28,Arizona St.,9/13/2014,@
700,Texas Tech,31,Arkansas,9/13/2014,@
164,UConn,66,Boise St.,9/13/2014,@
67,Boston College,657,Southern California,9/13/2014,
71,Bowling Green,306,Indiana,9/13/2014,
193,Duke,328,Kansas,9/13/2014,
742,Virginia Tech,196,East Carolina,9/13/2014,@
235,Florida,334,Kentucky,9/13/2014,
229,Fla. Atlantic,719,Tulsa,9/13/2014,
255,Georgia Tech,253,Ga. Southern,9/13/2014,
277,Hawaii,-99,Northern Iowa,9/13/2014,
47,Ball St.,-99,Indiana St.,9/13/2014,@
312,Iowa,311,Iowa St.,9/13/2014,@
365,LSU,498,La.-Monroe,9/13/2014,
388,Marshall,519,Ohio,9/13/2014,
415,Miami (FL),30,Arkansas St.,9/13/2014,
418,Michigan,414,Miami (OH),9/13/2014,
419,Middle Tenn.,772,Western Ky.,9/13/2014,
433,Ole Miss,671,UL Lafayette,9/13/2014,
646,South Ala.,430,Mississippi St.,9/13/2014,@
434,Missouri,128,UCF,9/13/2014,
670,Texas St.,726,Navy,9/13/2014,@
96,Fresno St.,463,Nebraska,9/13/2014,@
651,South Fla.,490,North Carolina St.,9/13/2014,@
465,UNLV,503,Northern Ill.,9/13/2014,@
513,Notre Dame,559,Purdue,9/13/2014,
518,Ohio St.,331,Kent St.,9/13/2014,
522,Oklahoma,694,Tennessee,9/13/2014,
521,Oklahoma St.,706,UTSA,9/13/2014,
523,Old Dominion,204,Eastern Mich.,9/13/2014,
529,Oregon,811,Wyoming,9/13/2014,
587,Rutgers,539,Penn St.,9/13/2014,@
231,FIU,545,Pittsburgh,9/13/2014,@
648,South Carolina,257,Georgia,9/13/2014,
674,Stanford,725,Army West Point,9/13/2014,
129,Central Mich.,688,Syracuse,9/13/2014,@
697,Texas A&M,574,Rice,9/13/2014,
698,TCU,428,Minnesota,9/13/2014,
704,UTEP,472,New Mexico St.,9/13/2014,
718,Tulane,-99,Southeastern Louisiana,9/13/2014,
110,UCLA,703,Texas,9/13/2014,
731,Utah St.,749,Wake Forest,9/13/2014,
736,Vanderbilt,400,Massachusetts,9/13/2014,
746,Virginia,367,Louisville,9/13/2014,
756,Washington,301,Illinois,9/13/2014,
754,Washington St.,-99,Portland St.,9/13/2014,
392,Maryland,768,West Virginia,9/13/2014,@
295,Idaho,774,Western Mich.,9/13/2014,@
29,Arizona,466,Nevada,9/13/2014,
66,Boise St.,164,UConn,9/13/2014,@
721,Air Force,254,Georgia St.,9/13/2014,@
156,Colorado St.,-99,California-Davis,9/13/2014,
-99,Abilene Christian,716,Troy,9/13/2014,@
664,Southern Miss.,8,Alabama,9/13/2014,
-99,Alabama A&M,-99,Alabama-Birmingham,9/13/2014,
466,Nevada,29,Arizona,9/13/2014,
28,Arizona St.,157,Colorado,9/13/2014,@
31,Arkansas,700,Texas Tech,9/13/2014,@
657,Southern California,67,Boston College,9/13/2014,
306,Indiana,71,Bowling Green,9/13/2014,
-99,California-Davis,156,Colorado St.,9/13/2014,
328,Kansas,193,Duke,9/13/2014,
196,East Carolina,742,Virginia Tech,9/13/2014,@
334,Kentucky,235,Florida,9/13/2014,
719,Tulsa,229,Fla. Atlantic,9/13/2014,
253,Ga. Southern,255,Georgia Tech,9/13/2014,
-99,Northern Iowa,277,Hawaii,9/13/2014,
-99,Indiana St.,47,Ball St.,9/13/2014,@
311,Iowa St.,312,Iowa,9/13/2014,@
498,La.-Monroe,365,LSU,9/13/2014,
519,Ohio,388,Marshall,9/13/2014,
30,Arkansas St.,415,Miami (FL),9/13/2014,
414,Miami (OH),418,Michigan,9/13/2014,
772,Western Ky.,419,Middle Tenn.,9/13/2014,
671,UL Lafayette,433,Ole Miss,9/13/2014,
430,Mississippi St.,646,South Ala.,9/13/2014,@
128,UCF,434,Missouri,9/13/2014,
726,Navy,670,Texas St.,9/13/2014,@
463,Nebraska,96,Fresno St.,9/13/2014,@
490,North Carolina St.,651,South Fla.,9/13/2014,@
503,Northern Ill.,465,UNLV,9/13/2014,@
559,Purdue,513,Notre Dame,9/13/2014,
331,Kent St.,518,Ohio St.,9/13/2014,
694,Tennessee,522,Oklahoma,9/13/2014,
706,UTSA,521,Oklahoma St.,9/13/2014,
204,Eastern Mich.,523,Old Dominion,9/13/2014,
811,Wyoming,529,Oregon,9/13/2014,
539,Penn St.,587,Rutgers,9/13/2014,@
545,Pittsburgh,231,FIU,9/13/2014,@
257,Georgia,648,South Carolina,9/13/2014,
725,Army West Point,674,Stanford,9/13/2014,
688,Syracuse,129,Central Mich.,9/13/2014,@
574,Rice,697,Texas A&M,9/13/2014,
428,Minnesota,698,TCU,9/13/2014,
472,New Mexico St.,704,UTEP,9/13/2014,
-99,Southeastern Louisiana,718,Tulane,9/13/2014,
703,Texas,110,UCLA,9/13/2014,
749,Wake Forest,731,Utah St.,9/13/2014,
400,Massachusetts,736,Vanderbilt,9/13/2014,
367,Louisville,746,Virginia,9/13/2014,
301,Illinois,756,Washington,9/13/2014,
-99,Portland St.,754,Washington St.,9/13/2014,
768,West Virginia,392,Maryland,9/13/2014,@
774,Western Mich.,295,Idaho,9/13/2014,@
327,Kansas St.,37,Auburn,9/18/2014,@
37,Auburn,327,Kansas St.,9/18/2014,@
651,South Fla.,164,UConn,9/19/2014,
164,UConn,651,South Fla.,9/19/2014,
8,Alabama,235,Florida,9/20/2014,
31,Arkansas,503,Northern Ill.,9/20/2014,
30,Arkansas St.,731,Utah St.,9/20/2014,
67,Boston College,-99,Maine,9/20/2014,
77,BYU,746,Virginia,9/20/2014,
86,Buffalo,-99,Norfolk St.,9/20/2014,
128,UCF,-99,Bethune-Cookman,9/20/2014,
140,Cincinnati,414,Miami (OH),9/20/2014,
157,Colorado,277,Hawaii,9/20/2014,
